curb,right,left,type,make,state,,width,length
-24,9,1,L,Ford,UT,,89,216
9.5,12,13,S,Toyota,UT,,,
-13,20,2,L,Ram,UT,,,
-7,17,13.5,S,Subi,UT,,,
1.5,16,18,M,Subi,UT,,,
-13,17,12,M,Jeep,CO,,,
20,13,18.5,S,Mazda,CA,,,
23,27,4,S,Mercedes,UT,,,
15,40,10,S,Nissian,UT,,,
10,23,19,S,Nissian,UT,,,
-6,28,7,S,Honda,UT,,,
-7,29,8,S,Ford,UT,,,
-3.5,20.5,17,S,Ford,UT,,,
-3,18,26,S,Nissian,UT,,,
5,5,30,S,Handyai,UT,,,
11,1,24,S,Tesla,UT,,,
-8,53,-19,M,Nissian,UT,,,
3,11,27,M,Honda,CO,,,
7,14,7,M,Hondyai,UT,,,
-8,-1,22,M,Dodge,PEN,,,
-9,5,17,M,Subi,UT,,,
-0.5,4,29,M,Toyota,UT,,,
13,14,15,S,VW,UT,,,
-7,7,18,M,Ford,UT,,,
2,11,12,M,Subi,UT,,,
-6.5,9,17,S,Chevy,WI,,,
3,4.5,14.5,S,Subi,UT,,,
5,2,24,M,Buick,CA,,,
11,0.5,21,M,GMC,MS,,,
-20,10,20,S,Honda,UT,,,
4,11,14,S,Ford,UT,,,
-7.5,5,6,M,Honda,UT,,,
-42,3,15,L,Toyota,CO,,,
3.5,4,18,M,Subi,UT,,,
-15,10,8,M,Subi,UT,,,
3,6,17,M,Toyota,UT,,,
-2,1,7,L,Ram,UT,,,
-1,6,17,S,Ford,ID,,,
-21,32,-7,M,Audi,UT,,,
17,34,-13.5,S,Nissian,UT,,,
6,-1,24,S,Subi,UT,,,
26,-1,24,M,Mazda,AZ,,,
13,11,12,S,Subi,UT,,,
20.5,0,20,M,Mazda,UT,,,
-20,-3.5,21,M,Subi,UT,,,
-9,9,10,L,Toyota,UT,,,
7,6,15,S,Chrysler,UT,,,
-4,8,19,S,Toyota,UT,,,
-19.5,-2,12,M,Toyota,UT,,,
-2,8,22,M,Subi,UT,,,
11,8,13,M,Kia,UT,,,
-13,5,7.5,M,Nissian,UT,,,
-18,13,14,M,Subi,UT,,,
-22,12,6,S,Lincoln,UT,,,
-5,0,17,M,Acura,UT,,,
2.5,16,12,S,Subi,UT,,,
23,23,2,L,Ford,UT,,,
5,10,12,S,VW,UT,,,
-39,15,-5,L,Ram,UT,,,
-13,5.5,14,M,Saturn,UT,,,
-8,16,15,M,Lexas,UT,,,
0.5,5,17,M,Subi,VI,,,
-18,7,16,L,Chevy,UT,,,
27,5,20,S,Subi,UT,,,
19,12,18,S,Hondyai,UT,,,
5,9,24,S,Mazda,NY,,,
-12,17,6,M,Toyota,CA,,,
-22,5,15,L,Jeep,UT,,,
3.5,6,20.5,S,Chevy,UT,,,
-19.5,2,24,S,Toyota,CA,,,
3.5,3.5,9,M,Ford,UT,,,
-28,21,10.5,M,Subi,UT,,,
-7,22,18,S,Infiniti,UT,,,
-13,10,20,S,Nissian,UT,,,
7,17.5,10,L,Toyota,UT,,,
-7.5,13,12,S,Toyota,UT,,,
-23,4.5,14,L,Toyota,UT,,,
3,9,17,M,Ford,UT,,,
5,2.5,17,S,Subi,UT,,,
-20,4,24,M,Toyota,UT,,,
2,5,18,M,Nissian,UT,,,
15,-15,15,S,Subi,UT,,,
-1,12,19,M,Toyota,UT,,,
-5,18.5,6,S,NIssian,UT,,,
11,10,18,M,Toyota,NM,,,
20,23,9,S,Tesla,UT,,,
28,16,15,S,Toyota,UT,,,
1,9,20,M,Honda,UT,,,
20,9,25,S,Ford,UT,,,
17,21,15,S,Ford,WA,,,
7.5,12,11.5,S,Toyota,UT,,,
12,15,10.5,M,Subi,UT,,,
-6,10,17,M,Hondyai,UT,,,
5.5,14.5,13,S,Acura,UT,,,
0,22,7,S,NIssian,UT,,,
10,15,10,S,VW,UT,,,
8,17,9,M,Subi,UT,,,
14,23,13,S,Kia,UT,,,
13,12,11.5,S,Honda,UT,,,
25,12.5,9.5,M,Toyota,UT,,,
