curb,right,left,type,make,state,,width,length
2,0,7.2,M,toyota,PN,,102,216
-10.5,15,20,S,vw,UT,,,
1.5,19,15.8,S,vw,UT,,,
-0.3,13,20.3,M,honda,UT,,,
-6.6,21.2,16.2,M,kia,UT,,,
-18.7,18.9,14.5,M,toyota,UT,,,
12.2,25,5,S,tesla,UT,,,
-11.2,25,1,S,nissan,UT,,,
-3.2,21,17,M,chevy,TX,,,
-14.8,17,16,M,jeep,UT,,,
-7.1,13,17.8,S,maserati,UT,,,
-0.5,16,20.5,M,vw,UT,,,
7,14,19,M,subi,UT,,,
5.4,20,13.5,M,volvo,CA,,,
28,22,19,S,nissan,UT,,,
-5.6,13,19.3,S,mercedes,UT,,,
6,18.7,15.4,M,infiniti,UT,,,
-0.2,6.8,29,M,subi,UT,,,
4.7,18.5,16.8,S,nissan,UT,,,
9.4,22,12,M,volvo,WA,,,
13.3,15,15.5,M,jeep,UT,,,
-11,24,13.5,S,honda,UT,,,
-15.4,23.3,4,M,toyota,CA,,,
2,12.9,0,M,subi,UT,,,
5,-16,19,S,porche,UT,,,
-3,12.2,21.9,S,nissan,CA,,,
-14.5,19,12.3,S,toyota,UT,,,
-12,9,24,S,vw,UT,,,
-16.4,10.3,22.1,M,subi,UT,,,
-19.8,17.2,11.1,M,subi,UT,,,
-15.5,19,10.5,M,toyota,UT,,,
-22.5,13,6,L,toyota,UT,,,
-4.7,10,21.9,M,jeep,UT,,,
-16,8.3,21.7,M,jeep,UT,,,
2.5,12.2,19.5,L,toyota,CA,,,
2.2,17.4,15.5,M,subi,UT,,,
-26.1,9,26.4,S,honda,UT,,,
-6,14.5,14.9,M,nissan,ID,,,
-13,33,1.3,M,honda,UT,,,
3,28,12,S,toyota,UT,,,
-0.7,22,13.3,S,mercedes,UT,,,
-14.1,14,16,M,mazda,UT,,,
-2,21.5,7.5,M,toyota,CA,,,
-14.5,25,10,S,toyota,UT,,,
9.5,27.3,8,S,honda,CA,,,
-0.1,21.5,8.5,M,toyota,NV,,,
1,14.4,20.3,S,chevy,UT,,,
-38.5,12,12,L,ram,CA,,,
8.5,17.5,9,M,vw,UT,,,
7.4,22.6,14.5,M,toyota,UT,,,
-39,9,15.7,L,ford,CA,,,
-29,16.3,13.9,M,chevy,UT,,,
4.8,32.4,12.6,M,jeep,UT,,,
-3.7,21,10.3,M,volvo,UT,,,
-6,13.5,13.8,M,toyota,UT,,,
-26,12,18.5,S,toyota,UT,,,
-18,14.2,10.4,L,chevy,CA,,,
-17,21.4,9,L,ram,UT,,,
-9,14.8,12.3,M,jeep,AL,,,
5,24,9,S,nissan,UT,,,
-10,20,8,M,nissan,UT,,,
-4,16,14.1,M,nissan,UT,,,
9,28,13.8,M,jeep,UT,,,
11,-0.5,37,S,toyota,UT,,,
-2,13.5,15,M,nissan,UT,,,
2.1,13.6,18,S,vw,UT,,,
6.1,25,7.5,S,honda,UT,,,
-3.5,24.9,11,S,nissan,UT,,,
6,15.6,17,S,vw,UT,,,
-19,14,-25,L,ford,UT,,,
-17,-3,34,S,ford,UT,,,
36,13.5,20.5,M,mazda,UT,,,
-2.5,21,6.3,M,toyota,UT,,,
-12,24.5,6.5,S,ford,ct,,,
2.5,15.5,15,M,nissan,ct,,,
-23.9,13,22,M,subi,UT,,,
18.3,16,17,S,nissan,UT,,,
-4,13.6,11,M,jeep,UT,,,
-3.3,14.5,16,M,nissan,UT,,,
2,19,9.9,S,chrysler,UT,,,
1,18,14.4,S,subi,CO,,,
0,13.4,17,S,mazda,UT,,,
8.5,15.6,13.3,S,honda,UT,,,
36,14.5,16.6,S,mazda,CA,,,
1,28,11.5,S,toyota,UT,,,
-16.9,16,16,M,mazda,UT,,,
-14,26,7.3,S,infiniti,UT,,,
-18.5,23,12.6,M,subi,UT,,,
-5,21,11,M,subi,GA,,,
-15,21.5,12,M,jeep,UT,,,
11.5,22.5,11.7,M,subi,UT,,,
0.5,17.8,19,S,honda,UT,,,
25.5,24.4,15.6,S,vw,UT,,,
-30,15.2,7.5,L,ram,UT,,,
-0.2,19.2,15.6,S,kia,UT,,,
-5.9,9.8,29,S,toyota,UT,,,
15.5,16.5,17,M,toyota,UT,,,
11.5,14,20.9,S,bmw,UT,,,
6,7.4,23,M,honda,CA,,,
10,2,32.5,S,honda,UT,,,
