curb,right,left,type,make,state,,width,length
-24,9,1,L,ford,UT,,89,216
9.5,12,13,S,toyota,UT,,,
-13,20,2,L,ram,UT,,,
-7,17,13.5,S,subi,UT,,,
1.5,16,18,M,subi,UT,,,
-13,17,12,M,jeep,CO,,,
20,13,18.5,S,mazda,CA,,,
23,27,4,S,mercedes,UT,,,
15,40,10,S,nissan,UT,,,
10,23,19,S,nissan,UT,,,
-6,28,7,S,honda,UT,,,
-7,29,8,S,ford,UT,,,
-3.5,20.5,17,S,ford,UT,,,
-3,18,26,S,nissan,UT,,,
5,5,30,S,hyundai,UT,,,
11,1,24,S,tesla,UT,,,
-8,53,-19,M,nissan,UT,,,
3,11,27,M,honda,CO,,,
7,14,7,M,hyundai,UT,,,
-8,-1,22,M,dodge,PEN,,,
-9,5,17,M,subi,UT,,,
-0.5,4,29,M,toyota,UT,,,
13,14,15,S,VW,UT,,,
-7,7,18,M,ford,UT,,,
2,11,12,M,subi,UT,,,
-6.5,9,17,S,chevy,WI,,,
3,4.5,14.5,S,subi,UT,,,
5,2,24,M,buick,CA,,,
11,0.5,21,M,gmc,MS,,,
-20,10,20,S,honda,UT,,,
4,11,14,S,ford,UT,,,
-7.5,5,6,M,honda,UT,,,
-42,3,15,L,toyota,CO,,,
3.5,4,18,M,subi,UT,,,
-15,10,8,M,subi,UT,,,
3,6,17,M,toyota,UT,,,
-2,1,7,L,ram,UT,,,
-1,6,17,S,ford,ID,,,
-21,32,-7,M,audi,UT,,,
17,34,-13.5,S,nissan,UT,,,
6,-1,24,S,subi,UT,,,
26,-1,24,M,mazda,AZ,,,
13,11,12,S,subi,UT,,,
20.5,0,20,M,mazda,UT,,,
-20,-3.5,21,M,subi,UT,,,
-9,9,10,L,toyota,UT,,,
7,6,15,S,chrysler,UT,,,
-4,8,19,S,toyota,UT,,,
-19.5,-2,12,M,toyota,UT,,,
-2,8,22,M,subi,UT,,,
11,8,13,M,kia,UT,,,
-13,5,7.5,M,nissan,UT,,,
-18,13,14,M,subi,UT,,,
-22,12,6,S,lincoln,UT,,,
-5,0,17,M,acura,UT,,,
2.5,16,12,S,subi,UT,,,
23,23,2,L,ford,UT,,,
5,10,12,S,VW,UT,,,
-39,15,-5,L,ram,UT,,,
-13,5.5,14,M,saturn,UT,,,
-8,16,15,M,lexas,UT,,,
0.5,5,17,M,subi,VI,,,
-18,7,16,L,chevy,UT,,,
27,5,20,S,subi,UT,,,
19,12,18,S,hyundai,UT,,,
5,9,24,S,mazda,NY,,,
-12,17,6,M,toyota,CA,,,
-22,5,15,L,jeep,UT,,,
3.5,6,20.5,S,chevy,UT,,,
-19.5,2,24,S,toyota,CA,,,
3.5,3.5,9,M,ford,UT,,,
-28,21,10.5,M,subi,UT,,,
-7,22,18,S,infiniti,UT,,,
-13,10,20,S,nissan,UT,,,
7,17.5,10,L,toyota,UT,,,
-7.5,13,12,S,toyota,UT,,,
-23,4.5,14,L,toyota,UT,,,
3,9,17,M,ford,UT,,,
5,2.5,17,S,subi,UT,,,
-20,4,24,M,toyota,UT,,,
2,5,18,M,nissan,UT,,,
15,-15,15,S,subi,UT,,,
-1,12,19,M,toyota,UT,,,
-5,18.5,6,S,nissan,UT,,,
11,10,18,M,toyota,NM,,,
20,23,9,S,tesla,UT,,,
28,16,15,S,toyota,UT,,,
1,9,20,M,honda,UT,,,
20,9,25,S,ford,UT,,,
17,21,15,S,ford,WA,,,
7.5,12,11.5,S,toyota,UT,,,
12,15,10.5,M,subi,UT,,,
-6,10,17,M,hyundai,UT,,,
5.5,14.5,13,S,acura,UT,,,
0,22,7,S,nissan,UT,,,
10,15,10,S,VW,UT,,,
8,17,9,M,subi,UT,,,
14,23,13,S,kia,UT,,,
13,12,11.5,S,honda,UT,,,
25,12.5,9.5,M,toyota,UT,,,
